"id";"customer_id";"shop_id";"product_id";"sales_date";"product_number";"net_price";"gross_price"
"1";"2117";"3";"60";"2018-01-01 00:00:00";"1";"1200,00";"1428,00"
"2";"2117";"3";"204";"2018-01-01 00:00:00";"3";"60,00";"71,40"
"3";"2117";"3";"190";"2018-01-01 00:00:00";"1";"12,00";"14,28"
"4";"2117";"3";"199";"2018-01-01 00:00:00";"2";"60,00";"71,40"
"5";"1134";"3";"122";"2018-01-01 00:00:00";"1";"900,00";"1071,00"
"6";"1134";"3";"195";"2018-01-01 00:00:00";"5";"160,00";"190,40"
"7";"1134";"3";"200";"2018-01-01 00:00:00";"2";"22,00";"26,18"
"8";"1134";"3";"204";"2018-01-01 00:00:00";"1";"20,00";"23,80"
"9";"848";"3";"143";"2018-01-01 00:00:00";"1";"900,00";"1071,00"
"10";"848";"3";"186";"2018-01-01 00:00:00";"4";"108,00";"128,52"
"11";"848";"3";"191";"2018-01-01 00:00:00";"1";"14,00";"16,66"
"12";"848";"3";"194";"2018-01-01 00:00:00";"1";"66,00";"78,54"
"13";"848";"3";"196";"2018-01-01 00:00:00";"1";"36,00";"42,84"
"14";"848";"3";"207";"2018-01-01 00:00:00";"3";"57,00";"67,83"
"15";"478";"1";"172";"2018-01-01 00:00:00";"1";"800,00";"952,00"
"16";"80";"1";"9";"2018-01-01 00:00:00";"1";"1200,00";"1428,00"
"17";"80";"1";"206";"2018-01-01 00:00:00";"3";"177,00";"210,63"
"18";"80";"1";"197";"2018-01-01 00:00:00";"1";"80,00";"95,20"
"19";"80";"1";"206";"2018-01-01 00:00:00";"5";"295,00";"351,05"
"20";"80";"1";"182";"2018-01-01 00:00:00";"1";"16,00";"19,04"
"21";"245";"3";"131";"2018-01-02 00:00:00";"1";"900,00";"1071,00"
"22";"245";"3";"204";"2018-01-02 00:00:00";"3";"60,00";"71,40"
"23";"245";"3";"205";"2018-01-02 00:00:00";"2";"70,00";"83,30"
"24";"245";"3";"186";"2018-01-02 00:00:00";"4";"108,00";"128,52"
"25";"245";"3";"187";"2018-01-02 00:00:00";"3";"63,00";"74,97"
"26";"62";"2";"166";"2018-01-02 00:00:00";"1";"800,00";"952,00"
"27";"62";"2";"210";"2018-01-02 00:00:00";"1";"17,00";"20,23"
"28";"62";"2";"189";"2018-01-02 00:00:00";"2";"24,00";"28,56"
"29";"62";"2";"187";"2018-01-02 00:00:00";"5";"105,00";"124,95"
"30";"2526";"2";"71";"2018-01-02 00:00:00";"1";"1800,00";"2142,00"
"31";"2526";"2";"195";"2018-01-02 00:00:00";"4";"128,00";"152,32"
"32";"2992";"3";"129";"2018-01-02 00:00:00";"1";"1200,00";"1428,00"
"33";"145";"3";"65";"2018-01-02 00:00:00";"1";"1800,00";"2142,00"
"34";"145";"3";"202";"2018-01-02 00:00:00";"2";"76,00";"90,44"
"35";"145";"3";"200";"2018-01-02 00:00:00";"2";"22,00";"26,18"
"36";"145";"3";"209";"2018-01-02 00:00:00";"4";"144,00";"171,36"
"37";"145";"3";"183";"2018-01-02 00:00:00";"1";"70,00";"83,30"
"38";"145";"3";"184";"2018-01-02 00:00:00";"4";"16,00";"19,04"
"39";"2964";"2";"32";"2018-01-03 00:00:00";"1";"400,00";"476,00"
"40";"2964";"2";"203";"2018-01-03 00:00:00";"1";"5,00";"5,95"
"41";"2964";"2";"210";"2018-01-03 00:00:00";"1";"17,00";"20,23"
"42";"2964";"2";"201";"2018-01-03 00:00:00";"5";"380,00";"452,20"
"43";"2964";"2";"186";"2018-01-03 00:00:00";"5";"135,00";"160,65"
"44";"4353";"2";"135";"2018-01-03 00:00:00";"1";"1200,00";"1428,00"
"45";"4067";"1";"7";"2018-01-04 00:00:00";"1";"500,00";"595,00"
"46";"3365";"3";"173";"2018-01-04 00:00:00";"1";"900,00";"1071,00"
"47";"3365";"3";"205";"2018-01-04 00:00:00";"1";"35,00";"41,65"
"48";"3365";"3";"204";"2018-01-04 00:00:00";"1";"20,00";"23,80"
"49";"3365";"3";"201";"2018-01-04 00:00:00";"4";"304,00";"361,76"
"50";"3145";"3";"3";"2018-01-04 00:00:00";"1";"1200,00";"1428,00"
"51";"2102";"3";"118";"2018-01-06 00:00:00";"1";"1400,00";"1666,00"
"52";"2102";"3";"190";"2018-01-06 00:00:00";"1";"12,00";"14,28"
"53";"2102";"3";"199";"2018-01-06 00:00:00";"1";"30,00";"35,70"
"54";"15";"3";"126";"2018-01-08 00:00:00";"1";"1200,00";"1428,00"
"55";"15";"3";"190";"2018-01-08 00:00:00";"2";"24,00";"28,56"
"56";"441";"2";"170";"2018-01-08 00:00:00";"1";"900,00";"1071,00"
"57";"441";"2";"199";"2018-01-08 00:00:00";"5";"150,00";"178,50"
"58";"3092";"3";"127";"2018-01-08 00:00:00";"1";"800,00";"952,00"
